Voltage (V);Current (A)
-10;-0.04798029
-9.6;-0.04784455
-9.2;-0.04766835
-8.8;-0.04747464
-8.4;-0.0472566
-8;-0.04703932
-7.6;-0.04681736
-7.2;-0.04658977
-6.8;-0.04637333
-6.4;-0.04613488
-6;-0.04587862
-5.6;-0.04564919
-5.2;-0.04537573
-4.8;-0.04512286
-4.4;-0.04484741
-4;-0.04458557
-3.6;-0.04428148
-3.2;-0.0439882
-2.8;-0.0436857
-2.4;-0.04336303
-2;-0.04303693
-1.6;-0.04268126
-1.2;-0.04232106
-0.7999998;-0.04193846
-0.3999999;-0.04150901
1.49E-07;-0.04107307
0.4000002;-0.04057839
0.8000002;-0.04005354
1.2;-0.03945022
1.6;-0.03877499
2;-0.03793994
2.4;-0.03687856
2.8;-0.03528113
3.2;-0.03240467
3.6;-0.02577535
4;-0.0113994
4.4;0.01337296
4.8;0.04810923
5.2;0.09122012
5.6;0.1000041
6;0.100004
6.4;0.1000039
6.8;0.1000039
